"","Fucci.score","Seurat.score"
"0%",0.118324639063028,0.0812226280960897
"1%",0.0916904787706577,0.100837726760274
"2%",0.0619270744317908,0.12201173614893
"3%",0.040932926136459,0.100181674747403
"4%",0.0396335599935944,0.0945480273048453
"5%",0.023493262808266,0.0759505335653139
"6%",0.0243228589573851,0.074764323802228
"7%",0.0133643947295515,0.0664975207566123
"8%",0.0099233534614164,0.0611139366437637
"9%",0.00542222720534483,0.0415688658400716
"10%",0.00340445152274575,0.0309676193584875
"11%",0.00142881199081387,0.0320311659324138
"12%",0.00129097320948154,0.0191220890963139
"13%",0.00130367753990183,0.0123467931718796
"14%",0.000803580474575723,0.00594066939184558
"15%",0.000528315390487405,0.00649847959165172
"16%",0.000357976498248524,0.0043852310053101
"17%",0.000254365192169253,0.00225272608362379
"18%",0.000141307628995583,0.00159693950177862
"19%",7.3524719248377e-05,0.00156673036452955
"20%",3.95309338180538e-05,0.000813846965921456
"21%",2.17277369775015e-05,0.000418603003311492
"22%",5.26381556398922e-05,0.000196088449686651
"23%",1.58579494226263e-05,8.90088158605645e-05
"24%",6.62830141025051e-06,9.17873753161538e-05
"25%",1.4662866153492e-05,6.57631222403943e-05
"26%",5.88950895181549e-06,2.45556649023763e-05
"27%",1.23453068718984e-06,2.00278641656198e-05
"28%",3.5386476845404e-07,8.57864885597414e-06
"29%",1.22585147513428e-07,1.85110913196749e-06
"30%",4.91231766054948e-08,1.99665669083518e-06
